country,horizon,naive_mae,naive_rmse,seasonal_naive_mae,seasonal_naive_rmse,mae,rmse,smape,improve_vs_naive,improve_vs_seasonal,beat_naive,beat_seasonal
bangkok,1_year,0.0066,0.0076,0.0038,0.0044,0.0038,0.0044,25.9,42.42424242424242,0.0,True,False
canberra,1_year,0.0017,0.0018,0.0006,0.0008,0.0006,0.0008,40.77,64.70588235294117,0.0,True,False
hongkong,1_year,0.0052,0.0063,0.0051,0.0064,0.0056,0.007,16.56,-7.692307692307695,-9.803921568627443,False,False
london,1_year,0.0066,0.0071,0.0027,0.0037,0.0025,0.0035,16.64,62.12121212121211,7.40740740740741,True,True
philadelphia,1_year,0.0032,0.0043,0.0016,0.0018,0.0015,0.0019,14.44,53.125,6.250000000000003,True,True
