country,horizon,naive_mae,naive_rmse,seasonal_naive_mae,seasonal_naive_rmse,mae,rmse,smape,improve_vs_naive,improve_vs_seasonal,beat_naive,beat_seasonal
bangkok,1_year,0.0116,0.0141,0.0058,0.0071,0.0057,0.0075,25.34,50.86206896551724,1.7241379310344724,True,True
canberra,1_year,0.006,0.0069,0.0026,0.0031,0.004,0.0045,18.77,33.33333333333333,-53.846153846153854,True,False
hongkong,1_year,0.0027,0.0031,0.0034,0.0037,0.0022,0.0029,13.74,18.51851851851852,35.29411764705881,True,True
london,1_year,0.0087,0.0094,0.0041,0.0044,0.004,0.0046,21.69,54.02298850574713,2.4390243902439086,True,True
philadelphia,1_year,0.0079,0.0097,0.0024,0.0031,0.003,0.0042,10.19,62.0253164556962,-25.00000000000001,True,False
