country,horizon,naive_mae,naive_rmse,seasonal_naive_mae,seasonal_naive_rmse,mae,rmse,smape,improve_vs_naive,improve_vs_seasonal,beat_naive,beat_seasonal
bangkok,1_year,8.995,12.025,3.4195,4.1542,2.4218,2.7099,15.09,73.07615341856587,29.176780231027927,True,True
canberra,1_year,3.3636,3.8854,2.0412,2.7705,1.8208,2.5416,22.67,45.86752289213937,10.797570056829313,True,True
hongkong,1_year,4.0119,5.069,3.1398,3.8826,3.9999,4.7466,17.62,0.29911014731174784,-27.393464551882275,True,False
london,1_year,3.0361,3.9116,4.2541,5.1246,1.8028,2.1897,17.37,40.62119166035374,57.62205871982323,True,True
philadelphia,1_year,3.302,4.0996,1.699,2.2699,1.3133,1.8831,15.52,60.22713506965476,22.701589170100068,True,True
