country,horizon,naive_mae,naive_rmse,seasonal_naive_mae,seasonal_naive_rmse,mae,rmse,smape,improve_vs_naive,improve_vs_seasonal,beat_naive,beat_seasonal
bangkok,1_week,12.1756,12.5263,7.1783,9.5396,6.5539,9.169,19.4,46.171851900522356,8.6984383489127,True,True
bangkok,1_month,9.1974,10.0505,9.8889,13.584,7.9169,9.8347,21.26,13.922412855807076,19.9415506274712,True,True
canberra,1_week,1.8043,2.1735,1.6131,2.0193,1.8042,2.3921,29.17,0.005542315579448483,-11.8467546959271,True,False
canberra,1_month,3.4479,4.9013,3.9342,5.6369,3.9107,5.4503,49.25,-13.422663070274648,0.5973260129124167,False,True
hongkong,1_week,3.9379,4.7546,9.1242,10.4482,8.3793,9.405,27.42,-112.78600269179006,8.164003419477867,False,True
hongkong,1_month,7.4959,9.9491,10.6522,12.8611,8.0087,9.8849,25.35,-6.841073119972245,24.816469837216736,False,True
london,1_week,3.6488,4.1095,4.7024,5.7014,7.1258,8.1423,69.1,-95.29160271870204,-51.535386185777476,False,False
london,1_month,4.028,5.0733,4.7427,6.5848,5.2121,7.0851,42.68,-29.396722939424052,-9.897315874923573,False,False
philadelphia,1_week,6.7756,8.4312,6.0988,8.7203,5.6953,6.7455,49.44,15.943975441289338,6.616055617498527,True,True
philadelphia,1_month,5.493,7.6185,6.1612,8.2749,5.001,6.2494,45.09,8.956854178044784,18.830747257027845,True,True
