country,horizon,naive_mae,naive_rmse,seasonal_naive_mae,seasonal_naive_rmse,mae,rmse,smape,improve_vs_naive,improve_vs_seasonal,beat_naive,beat_seasonal
bangkok,1_year,0.1781,0.2027,0.0655,0.075,0.0487,0.0574,11.36,72.65581134194274,25.64885496183206,True,True
canberra,1_year,0.1474,0.2085,0.1857,0.2332,0.2237,0.2422,48.32,-51.76390773405699,-20.46311254711901,False,False
hongkong,1_year,0.1092,0.1283,0.0926,0.1116,0.094,0.1056,20.49,13.919413919413923,-1.5118790496760242,True,False
london,1_year,0.0905,0.1023,0.1621,0.1916,0.2719,0.3105,151.48,-200.4419889502762,-67.7359654534238,False,False
philadelphia,1_year,0.0373,0.051,0.053,0.0642,0.0706,0.084,25.63,-89.27613941018765,-33.20754716981132,False,False
