country,date,pm10_avg
bangkok,2022-02-11,33.13636363636363
bangkok,2022-02-12,47.416666666666664
bangkok,2022-02-13,52.916666666666664
bangkok,2022-02-14,36.291666666666664
bangkok,2022-02-15,38.104166666666664
bangkok,2022-02-16,53.291666666666664
bangkok,2022-02-17,55.6875
bangkok,2022-02-18,30.208333333333332
bangkok,2022-02-19,17.270833333333332
bangkok,2022-02-20,15.625
bangkok,2022-02-21,25.5
bangkok,2022-02-22,42.8125
bangkok,2022-02-23,62.5
bangkok,2022-02-24,61.833333333333336
bangkok,2022-02-25,70.41666666666667
bangkok,2022-02-26,73.5
bangkok,2022-02-27,76.125
bangkok,2022-02-28,79.08333333333333
bangkok,2022-03-01,61.6
bangkok,2022-03-02,43.30277777777778
bangkok,2022-03-03,40.01388888888889
bangkok,2022-03-04,39.333333333333336
bangkok,2022-03-05,41.4375
bangkok,2022-03-06,36.5625
bangkok,2022-03-07,33.625
bangkok,2022-03-08,39.6875
bangkok,2022-03-09,60.75
bangkok,2022-03-10,47.416666666666664
bangkok,2022-03-11,39.25
bangkok,2022-03-12,45.708333333333336
bangkok,2022-03-13,46.833333333333336
bangkok,2022-03-14,49.708333333333336
bangkok,2022-03-15,34.333333333333336
bangkok,2022-03-16,29.958333333333332
bangkok,2022-03-17,31.0
bangkok,2022-03-18,36.229166666666664
bangkok,2022-03-19,38.104166666666664
bangkok,2022-03-20,33.416666666666664
bangkok,2022-03-21,26.75
bangkok,2022-03-22,24.817708333333332
bangkok,2022-03-23,27.203125
bangkok,2022-03-24,30.276041666666668
bangkok,2022-03-25,31.640625
bangkok,2022-03-26,25.708333333333332
bangkok,2022-03-27,21.125
bangkok,2022-03-28,28.5
bangkok,2022-03-29,30.666666666666668
bangkok,2022-03-30,29.583333333333332
bangkok,2022-03-31,44.166666666666664
bangkok,2022-04-01,52.833333333333336
bangkok,2022-04-02,23.708333333333332
bangkok,2022-04-03,22.791666666666668
bangkok,2022-04-04,42.791666666666664
bangkok,2022-04-05,56.75
bangkok,2022-04-06,64.5
bangkok,2022-04-07,60.708333333333336
bangkok,2022-04-08,80.95833333333333
bangkok,2022-04-09,104.41666666666667
bangkok,2022-04-10,91.83333333333333
bangkok,2022-04-11,67.83333333333333
bangkok,2022-04-12,61.75
bangkok,2022-04-13,49.958333333333336
bangkok,2022-04-14,48.916666666666664
bangkok,2022-04-15,54.458333333333336
bangkok,2022-04-16,50.625
bangkok,2022-04-17,43.75
bangkok,2022-04-18,42.416666666666664
bangkok,2022-04-19,39.583333333333336
bangkok,2022-04-20,60.541666666666664
bangkok,2022-04-21,45.375
bangkok,2022-04-22,33.5
bangkok,2022-04-23,22.666666666666668
bangkok,2022-04-24,24.541666666666668
bangkok,2022-04-25,24.291666666666668
bangkok,2022-04-26,23.791666666666668
bangkok,2022-04-27,29.5
bangkok,2022-04-28,32.791666666666664
bangkok,2022-04-29,24.625
bangkok,2022-04-30,43.1875
bangkok,2022-05-01,29.25
bangkok,2022-05-02,23.541666666666668
bangkok,2022-05-03,23.708333333333332
bangkok,2022-05-04,35.875
bangkok,2022-05-05,38.75
bangkok,2022-05-06,43.1875
bangkok,2022-05-07,32.166666666666664
bangkok,2022-05-08,31.708333333333332
bangkok,2022-05-09,33.9375
bangkok,2022-05-10,20.395833333333332
bangkok,2022-05-11,19.125
bangkok,2022-05-12,26.041666666666668
bangkok,2022-05-13,27.875
bangkok,2022-05-14,34.583333333333336
bangkok,2022-05-15,32.375
bangkok,2022-05-16,24.333333333333332
bangkok,2022-05-17,21.083333333333332
bangkok,2022-05-18,19.875
bangkok,2022-05-19,21.75
bangkok,2022-05-20,15.645833333333334
bangkok,2022-05-21,14.097222222222221
