country,date,co_avg
bangkok,2022-07-01,0.45083333333333336
bangkok,2022-07-02,0.3408333333333333
bangkok,2022-07-03,0.30291666666666667
bangkok,2022-07-04,0.3433333333333333
bangkok,2022-07-05,0.3275
bangkok,2022-07-06,0.3529166666666667
bangkok,2022-07-07,0.33916666666666667
bangkok,2022-07-08,0.3358333333333334
bangkok,2022-07-09,0.32416666666666666
bangkok,2022-07-10,0.3179166666666667
bangkok,2022-07-11,0.3125
bangkok,2022-07-12,0.32875
bangkok,2022-07-13,0.3275
bangkok,2022-07-14,0.3475
bangkok,2022-07-15,0.3802083333333333
bangkok,2022-07-16,0.33416666666666667
bangkok,2022-07-17,0.32958333333333334
bangkok,2022-07-18,0.28833333333333333
bangkok,2022-07-19,0.28979166666666667
bangkok,2022-07-20,0.3095833333333333
bangkok,2022-07-21,0.49666666666666665
bangkok,2022-07-22,0.4175
bangkok,2022-07-23,0.3741666666666667
bangkok,2022-07-24,0.4266666666666667
bangkok,2022-07-25,0.4391666666666667
bangkok,2022-07-26,0.36999999999999994
bangkok,2022-07-27,0.5004166666666666
bangkok,2022-07-28,0.4054166666666667
bangkok,2022-07-29,0.29916666666666664
bangkok,2022-07-30,0.3045833333333334
bangkok,2022-07-31,0.2964583333333333
bangkok,2022-08-01,0.48291666666666666
bangkok,2022-08-02,0.4110416666666667
bangkok,2022-08-03,0.3875
bangkok,2022-08-04,0.3854166666666667
bangkok,2022-08-05,0.4320833333333333
bangkok,2022-08-06,0.42041666666666666
bangkok,2022-08-07,0.29833333333333334
bangkok,2022-08-08,0.34125
bangkok,2022-08-09,0.3875
bangkok,2022-08-10,0.32166666666666666
bangkok,2022-08-11,0.43430555555555556
bangkok,2022-08-12,0.4336111111111111
bangkok,2022-08-13,0.35958333333333337
bangkok,2022-08-14,0.3329166666666667
bangkok,2022-08-15,0.3116666666666667
bangkok,2022-08-16,0.48500000000000004
bangkok,2022-08-17,0.41208333333333336
bangkok,2022-08-18,0.47208333333333335
bangkok,2022-08-19,0.380625
bangkok,2022-08-20,0.32458333333333333
bangkok,2022-08-21,0.39083333333333337
bangkok,2022-08-22,0.39166666666666666
bangkok,2022-08-23,0.309375
bangkok,2022-08-24,0.34958333333333336
bangkok,2022-08-25,0.455
bangkok,2022-08-26,0.5483333333333333
bangkok,2022-08-27,0.4041666666666666
bangkok,2022-08-28,0.5664583333333334
bangkok,2022-08-29,0.5466666666666666
bangkok,2022-08-30,0.8508333333333334
bangkok,2022-08-31,0.7179166666666666
bangkok,2022-09-01,0.7920833333333334
bangkok,2022-09-02,0.5750000000000001
bangkok,2022-09-03,0.44208333333333333
bangkok,2022-09-04,0.33145833333333335
bangkok,2022-09-05,0.57125
bangkok,2022-09-06,0.4245833333333333
bangkok,2022-09-07,0.30791666666666667
bangkok,2022-09-08,0.4991666666666667
bangkok,2022-09-09,0.4575
bangkok,2022-09-10,0.31416666666666665
bangkok,2022-09-11,0.3879166666666667
bangkok,2022-09-12,0.7174999999999999
bangkok,2022-09-13,0.5191666666666667
bangkok,2022-09-14,0.3741666666666667
bangkok,2022-09-15,0.3252083333333333
bangkok,2022-09-16,0.29062499999999997
bangkok,2022-09-17,0.32416666666666666
bangkok,2022-09-18,0.4141666666666666
bangkok,2022-09-19,0.36541666666666667
bangkok,2022-09-20,0.33208333333333334
bangkok,2022-09-21,0.37000000000000005
bangkok,2022-09-22,0.5033333333333333
bangkok,2022-09-23,0.4970833333333333
bangkok,2022-09-24,0.365
bangkok,2022-09-25,0.4795833333333333
bangkok,2022-09-26,0.6875
bangkok,2022-09-27,0.4766666666666666
bangkok,2022-09-28,0.35083333333333333
bangkok,2022-09-29,0.4675
bangkok,2022-09-30,0.41625
bangkok,2022-10-01,0.3666666666666667
bangkok,2022-10-02,0.41124999999999995
bangkok,2022-10-03,0.4633333333333333
bangkok,2022-10-04,0.6220833333333333
bangkok,2022-10-05,0.5675
bangkok,2022-10-06,0.5608333333333334
bangkok,2022-10-07,0.64875
bangkok,2022-10-08,0.43375
bangkok,2022-10-09,0.39291666666666664
bangkok,2022-10-10,0.4295833333333334
bangkok,2022-10-11,0.5795833333333333
bangkok,2022-10-12,0.6224999999999999
bangkok,2022-10-13,0.5483333333333333
bangkok,2022-10-14,0.5220833333333333
bangkok,2022-10-15,0.4366666666666667
bangkok,2022-10-16,0.4379166666666667
bangkok,2022-10-17,0.6266666666666667
bangkok,2022-10-18,0.6266666666666666
bangkok,2022-10-19,0.6520833333333333
bangkok,2022-10-20,0.5558333333333333
bangkok,2022-10-21,0.5958333333333333
bangkok,2022-10-22,0.5766666666666667
bangkok,2022-10-23,0.56875
bangkok,2022-10-24,0.7050000000000001
bangkok,2022-10-25,0.5808333333333333
bangkok,2022-10-26,0.5554166666666667
bangkok,2022-10-27,0.5104166666666666
bangkok,2022-10-28,0.49291666666666667
bangkok,2022-10-29,0.40625
bangkok,2022-10-30,0.46875
bangkok,2022-10-31,0.5845833333333333
bangkok,2022-11-01,0.6070833333333333
bangkok,2022-11-02,0.6470833333333333
bangkok,2022-11-03,0.5658333333333333
bangkok,2022-11-04,0.5858333333333333
bangkok,2022-11-05,0.5441666666666667
bangkok,2022-11-06,0.625
bangkok,2022-11-07,0.6941666666666667
bangkok,2022-11-08,0.6679166666666667
bangkok,2022-11-09,0.5925
bangkok,2022-11-10,0.54875
bangkok,2022-11-11,0.5291666666666667
bangkok,2022-11-12,0.5054166666666667
bangkok,2022-11-13,0.4583333333333333
bangkok,2022-11-14,0.3879166666666667
bangkok,2022-11-15,0.5820833333333334
bangkok,2022-11-16,0.5479166666666667
bangkok,2022-11-17,0.49
bangkok,2022-11-18,0.6445833333333334
bangkok,2022-11-19,0.6016666666666667
bangkok,2022-11-20,0.4466666666666667
bangkok,2022-11-21,0.5545833333333333
bangkok,2022-11-22,0.5904166666666667
bangkok,2022-11-23,0.59
bangkok,2022-11-24,0.48208333333333336
bangkok,2022-11-25,0.4825
bangkok,2022-11-26,0.5808333333333333
bangkok,2022-11-27,0.6545833333333333
bangkok,2022-11-28,0.71875
bangkok,2022-11-29,0.7558333333333334
bangkok,2022-11-30,0.6233333333333334
bangkok,2022-12-01,0.42687500000000006
bangkok,2022-12-02,0.52125
bangkok,2022-12-03,0.6104166666666667
bangkok,2022-12-04,0.6383333333333333
bangkok,2022-12-05,0.5383333333333333
bangkok,2022-12-06,0.5233333333333333
bangkok,2022-12-07,0.6529166666666667
bangkok,2022-12-08,0.765
bangkok,2022-12-09,0.7025
bangkok,2022-12-10,0.7670833333333333
bangkok,2022-12-11,0.6066666666666667
bangkok,2022-12-12,0.5279166666666667
bangkok,2022-12-13,0.5991666666666666
bangkok,2022-12-14,0.6045833333333334
bangkok,2022-12-15,0.65125
bangkok,2022-12-16,0.7000000000000001
bangkok,2022-12-17,0.5983333333333333
bangkok,2022-12-18,0.48500000000000004
bangkok,2022-12-19,0.49541666666666667
bangkok,2022-12-20,0.5579166666666667
bangkok,2022-12-21,0.7004166666666666
bangkok,2022-12-22,0.8116666666666666
bangkok,2022-12-23,0.71
bangkok,2022-12-24,0.5070833333333333
bangkok,2022-12-25,0.4916666666666667
bangkok,2022-12-26,0.5499999999999999
bangkok,2022-12-27,0.6754166666666667
bangkok,2022-12-28,0.7225
bangkok,2022-12-29,0.6379166666666667
bangkok,2022-12-30,0.5720833333333334
bangkok,2022-12-31,0.44916666666666666
bangkok,2023-01-01,0.585
bangkok,2023-01-02,0.5725
bangkok,2023-01-03,0.5679166666666667
bangkok,2023-01-04,0.6441666666666667
bangkok,2023-01-05,0.6020833333333333
bangkok,2023-01-06,0.54625
bangkok,2023-01-07,0.46208333333333335
bangkok,2023-01-08,0.5833333333333334
bangkok,2023-01-09,0.6045833333333334
bangkok,2023-01-10,0.5525
bangkok,2023-01-11,0.48526699029126213
bangkok,2023-01-12,0.5860922330097087
bangkok,2023-01-13,0.6244660194174757
bangkok,2023-01-14,0.6244660194174757
bangkok,2023-01-15,1.024757281553398
bangkok,2023-01-16,0.585
