country,month,o3_avg
bangkok,2022-02-01,0.025651162790697672
bangkok,2022-03-01,0.02943548387096774
bangkok,2022-04-01,0.041506944444444444
bangkok,2022-05-01,0.026545698924731184
bangkok,2022-06-01,0.02322222222222222
bangkok,2022-07-01,0.02272177419354839
bangkok,2022-08-01,0.0198252688172043
bangkok,2022-09-01,0.02079861111111111
bangkok,2022-10-01,0.03217741935483871
bangkok,2022-11-01,0.028576388888888887
bangkok,2022-12-01,0.03455645161290323
bangkok,2023-01-01,0.03343746737655288
bangkok,2023-02-01,0.025896573527752986
bangkok,2023-03-01,0.025077163166630584
bangkok,2023-04-01,0.04070138888888889
bangkok,2023-05-01,0.0377755376344086
bangkok,2023-06-01,0.029069444444444443
bangkok,2023-07-01,0.020591397849462366
bangkok,2023-08-01,0.019448924731182798
bangkok,2023-09-01,0.02025
bangkok,2023-10-01,0.024321236559139783
bangkok,2023-11-01,0.0228125
bangkok,2023-12-01,0.027365591397849463
bangkok,2024-01-01,0.03695493774759479
bangkok,2024-02-01,0.035000756200846944
bangkok,2024-03-01,0.030786290322580647
bangkok,2024-04-01,0.03416666666666667
bangkok,2024-05-01,0.026794354838709674
bangkok,2024-06-01,0.018055555555555554
bangkok,2024-07-01,0.013340053763440862
bangkok,2024-08-01,0.0151747311827957
bangkok,2024-09-01,0.01498611111111111
bangkok,2024-10-01,0.02291666666666667
bangkok,2024-11-01,0.0275
bangkok,2024-12-01,0.043232658225631326
bangkok,2025-01-01,0.030126687091920946
bangkok,2025-02-01,0.035029761904761904
bangkok,2025-03-01,0.026021505376344085
bangkok,2025-04-01,0.025678659461509292
bangkok,2025-05-01,0.014800955998385263
bangkok,2025-06-01,0.00981956956956957
bangkok,2025-07-01,0.010356122251283541
bangkok,2025-08-01,0.012160345829700667
bangkok,2025-09-01,0.013895833333333335
bangkok,2025-10-01,0.01841397849462366
bangkok,2025-11-01,0.026409722222222223
bangkok,2025-12-01,0.030947580645161295
bangkok,2026-01-01,0.03557795698924731
bangkok,2026-02-01,0.03715773809523809
bangkok,2026-03-01,0.039153225806451614
bangkok,2026-04-01,0.03306944444444444
bangkok,2026-05-01,0.02351478494623656
bangkok,2026-06-01,0.017819444444444443
bangkok,2026-07-01,0.016923076923076923
canberra,2022-01-01,0.017499999999999998
canberra,2022-02-01,0.015535714285714285
canberra,2022-03-01,0.015813172043010755
canberra,2022-04-01,0.014125
canberra,2022-05-01,0.010442280381416109
canberra,2022-06-01,0.014520833333333334
canberra,2022-07-01,0.018259408602150536
canberra,2022-08-01,0.01872983870967742
canberra,2022-09-01,0.020881944444444446
canberra,2022-10-01,0.021801075268817204
canberra,2022-11-01,0.02053472222222222
canberra,2022-12-01,0.02038978494623656
canberra,2023-01-01,0.01862231182795699
canberra,2023-02-01,0.022185602116680886
canberra,2023-03-01,0.017551968298944107
canberra,2023-04-01,0.014215277777777776
canberra,2023-05-01,0.011236559139784946
canberra,2023-06-01,0.013444444444444445
canberra,2023-07-01,0.014368279569892473
canberra,2023-08-01,0.014522849462365591
canberra,2023-09-01,0.021208333333333333
canberra,2023-10-01,0.024771505376344087
canberra,2023-11-01,0.02377083333333333
canberra,2023-12-01,0.02120295698924731
canberra,2024-01-01,0.018669354838709677
canberra,2024-02-01,0.025654520222823742
canberra,2024-03-01,0.025124775221109032
canberra,2024-04-01,0.014534722222222221
canberra,2024-05-01,0.013333333333333332
