country,month,co_avg
bangkok,2022-02-01,0.6350348837209302
bangkok,2022-03-01,0.4682795698924731
bangkok,2022-04-01,0.5230277777777778
bangkok,2022-05-01,0.4534139784946236
bangkok,2022-06-01,0.3758958333333333
bangkok,2022-07-01,0.3552755376344086
bangkok,2022-08-01,0.43049731182795703
bangkok,2022-09-01,0.4459791666666667
bangkok,2022-10-01,0.5338844086021505
bangkok,2022-11-01,0.5768333333333333
bangkok,2022-12-01,0.6064583333333333
bangkok,2023-01-01,0.656640211815748
bangkok,2023-02-01,0.782322126156029
bangkok,2023-03-01,0.45917509201125783
bangkok,2023-04-01,0.4769097222222222
bangkok,2023-05-01,0.39370967741935486
bangkok,2023-06-01,0.37545138888888885
bangkok,2023-07-01,0.3875
bangkok,2023-08-01,0.3802419354838709
bangkok,2023-09-01,0.3871527777777778
bangkok,2023-10-01,0.5727150537634409
bangkok,2023-11-01,0.5814583333333333
bangkok,2023-12-01,0.6269489247311828
bangkok,2024-01-01,0.7075728636106395
bangkok,2024-02-01,0.5841462492437992
bangkok,2024-03-01,0.5818548387096774
bangkok,2024-04-01,0.4363194444444444
bangkok,2024-05-01,0.4475806451612903
bangkok,2024-06-01,0.3373611111111111
bangkok,2024-07-01,0.35846774193548386
bangkok,2024-08-01,0.35302419354838704
bangkok,2024-09-01,0.40493055555555557
bangkok,2024-10-01,0.5093413978494623
bangkok,2024-11-01,0.5447222222222222
bangkok,2024-12-01,0.6080714518042323
bangkok,2025-01-01,0.7248445452110359
bangkok,2025-02-01,0.6035714285714285
bangkok,2025-03-01,0.49294354838709675
bangkok,2025-04-01,0.3020785930982177
bangkok,2025-05-01,0.2499392179529524
bangkok,2025-06-01,0.2879157110091743
bangkok,2025-07-01,0.3972800754661142
bangkok,2025-08-01,0.39724770642201834
bangkok,2025-09-01,0.35315592409629104
bangkok,2025-10-01,0.5582906059981448
bangkok,2025-11-01,0.5058430954916577
bangkok,2025-12-01,0.5176075268817205
bangkok,2026-01-01,0.5690860215053763
bangkok,2026-02-01,0.5124255952380953
bangkok,2026-03-01,0.4098790322580645
bangkok,2026-04-01,0.29347222222222225
bangkok,2026-05-01,0.3348118279569892
bangkok,2026-06-01,0.31333333333333335
bangkok,2026-07-01,0.26346153846153847
canberra,2022-01-01,0.01625
canberra,2022-02-01,0.0
canberra,2022-03-01,0.0005510752688172043
canberra,2022-04-01,0.005583333333333334
canberra,2022-05-01,0.2370504919862041
canberra,2022-06-01,0.8053125000000001
canberra,2022-07-01,0.5245295698924731
canberra,2022-08-01,0.5380645161290323
canberra,2022-09-01,0.7056458333333333
canberra,2022-10-01,0.5468346774193549
canberra,2022-11-01,0.17011805555555556
canberra,2022-12-01,0.027318548387096773
canberra,2023-01-01,0.02245967741935484
canberra,2023-02-01,0.11047063492063491
canberra,2023-03-01,0.09931899716016916
canberra,2023-04-01,0.11584027777777778
canberra,2023-05-01,0.4026496026180458
canberra,2023-06-01,0.569625
canberra,2023-07-01,0.9067876344086021
canberra,2023-08-01,0.568380376344086
canberra,2023-09-01,0.22467361111111114
canberra,2023-10-01,0.19876344086021505
canberra,2023-11-01,0.5065347222222222
canberra,2023-12-01,0.21178091397849463
canberra,2024-01-01,0.49181451612903226
canberra,2024-02-01,0.3984479080852066
canberra,2024-03-01,0.285284253550589
canberra,2024-04-01,0.3139375
canberra,2024-05-01,0.5886559139784946
canberra,2024-06-01,0.8156041666666667
canberra,2024-07-01,0.5364986559139785
canberra,2024-08-01,0.49196236559139783
canberra,2024-09-01,0.5489861111111111
canberra,2024-10-01,0.6840591397849463
canberra,2024-11-01,0.5585416666666666
canberra,2024-12-01,0.16866935483870968
canberra,2025-01-01,0.3497177419354839
canberra,2025-02-01,0.3387797619047619
canberra,2025-03-01,0.5101680107526881
canberra,2025-04-01,0.4063819444444445
canberra,2025-05-01,0.39635752688172043
canberra,2025-06-01,0.761173611111111
canberra,2025-07-01,0.3188440860215054
canberra,2025-08-01,0.4652889784946237
canberra,2025-09-01,0.4798541666666667
canberra,2025-10-01,0.42135752688172046
canberra,2025-11-01,0.3891719348659004
canberra,2025-12-01,0.4237298387096774
canberra,2026-01-01,0.3695430107526882
canberra,2026-02-01,0.254410119047619
canberra,2026-03-01,0.1272043010752688
canberra,2026-04-01,0.2120138888888889
canberra,2026-05-01,0.8884543010752688
canberra,2026-06-01,0.4914027777777778
canberra,2026-07-01,0.10713793103448276
hongkong,2022-01-01,0.722755376344086
hongkong,2022-02-01,0.7074739583333334
hongkong,2022-03-01,0.6735719086021505
hongkong,2022-04-01,0.6617986111111112
hongkong,2022-05-01,0.6053225806451613
hongkong,2022-06-01,0.4144305555555555
hongkong,2022-07-01,0.5075403225806452
hongkong,2022-08-01,0.46862231182795694
hongkong,2022-09-01,0.5124791666666667
hongkong,2022-10-01,0.389489247311828
hongkong,2022-11-01,0.4018125
hongkong,2022-12-01,0.5910551075268817
hongkong,2023-01-01,0.5574469788832751
hongkong,2023-02-01,0.5201192518155074
hongkong,2023-03-01,0.41825714440355055
hongkong,2023-04-01,0.4510277777777778
hongkong,2023-05-01,0.5070900537634409
hongkong,2023-06-01,0.4155509259259259
hongkong,2023-07-01,0.49592741935483875
hongkong,2023-08-01,0.49218854589475186
hongkong,2023-09-01,0.36873333333333336
hongkong,2023-10-01,0.5120927419354839
hongkong,2023-11-01,0.5291111111111111
hongkong,2023-12-01,0.5536962365591398
hongkong,2024-01-01,0.5281317204301076
hongkong,2024-02-01,0.48693965517241383
hongkong,2024-03-01,0.518010752688172
hongkong,2024-04-01,0.48494444444444446
hongkong,2024-05-01,0.42217741935483877
hongkong,2024-06-01,0.39183333333333337
hongkong,2024-07-01,0.40389112903225804
hongkong,2024-08-01,0.4342002688172043
hongkong,2024-09-01,0.42939583333333337
hongkong,2024-10-01,0.430994623655914
hongkong,2024-11-01,0.5258194444444444
hongkong,2024-12-01,0.7089045698924731
hongkong,2025-01-01,0.6703360215053764
hongkong,2025-02-01,0.559375
hongkong,2025-03-01,0.5724529569892473
hongkong,2025-04-01,0.5380625
hongkong,2025-05-01,0.5026814516129032
hongkong,2025-06-01,0.3305625
hongkong,2025-07-01,0.37698252688172046
hongkong,2025-08-01,0.3208400537634409
hongkong,2025-09-01,0.3842291666666666
hongkong,2025-10-01,0.40922715053763437
hongkong,2025-11-01,0.4943472222222222
hongkong,2025-12-01,0.49303763440860215
hongkong,2026-01-01,0.7236853804797354
hongkong,2026-02-01,0.47989297161172156
hongkong,2026-03-01,0.4367943548387097
hongkong,2026-04-01,0.3513194444444444
hongkong,2026-05-01,0.3628454680534918
london,2022-01-01,1.2270295698924731
london,2022-02-01,0.9847321428571428
london,2022-03-01,1.1663037634408602
london,2022-04-01,1.152576388888889
london,2022-05-01,0.9107325268817205
london,2022-06-01,0.7712986111111112
london,2022-07-01,0.7620094086021505
london,2022-08-01,0.5985785220080003
london,2022-09-01,0.4239140865629175
london,2022-10-01,0.36620365246264525
london,2022-11-01,0.3662036524626453
london,2022-12-01,0.40601766529834776
london,2023-01-01,0.3674131513647642
london,2023-02-01,0.27324404761904764
london,2023-03-01,0.3153024193548387
london,2023-04-01,0.6507361111111111
london,2023-05-01,0.33885752688172044
london,2023-06-01,0.11027777777777778
london,2023-07-01,0.05868279569892473
london,2023-08-01,0.06762096774193549
london,2023-09-01,0.11745594666173934
london,2023-10-01,0.05381048387096775
london,2023-11-01,0.2807847222222222
london,2023-12-01,0.2327217741935484
london,2024-01-01,0.21815188172043012
london,2024-02-01,0.1771961629479378
london,2024-03-01,0.3190510752688172
london,2024-04-01,0.06916666666666667
london,2024-05-01,0.1427244623655914
london,2024-06-01,0.19840694444444446
london,2024-07-01,0.104700682382134
london,2024-08-01,0.1409103374119392
london,2024-09-01,0.30216901340996166
london,2024-10-01,0.378635752688172
london,2024-11-01,0.14930555555555555
london,2024-12-01,0.24118951612903225
london,2025-01-01,0.8642271505376344
london,2025-02-01,0.4113456443408224
london,2025-03-01,0.4265268238888357
london,2025-04-01,0.27064930555555555
london,2025-05-01,0.24808915770609322
london,2025-06-01,0.27352314814814815
london,2025-07-01,0.3088037634408602
london,2025-08-01,0.12323924731182795
london,2025-09-01,0.13997222222222222
london,2025-10-01,0.17313844086021504
london,2025-11-01,0.3864513888888889
london,2025-12-01,0.3460954301075269
london,2026-01-01,0.4261424731182796
london,2026-02-01,0.2693154761904762
london,2026-03-01,0.29751344086021503
london,2026-04-01,0.18834027777777776
london,2026-05-01,0.3949258923598327
london,2026-06-01,0.2614054054054054
philadelphia,2022-01-01,0.2837819650067295
philadelphia,2022-02-01,0.32412641637980494
philadelphia,2022-03-01,0.24681776047460138
philadelphia,2022-04-01,0.17606944444444445
philadelphia,2022-05-01,0.18129704301075267
philadelphia,2022-06-01,0.20784722222222224
philadelphia,2022-07-01,0.20503360215053765
philadelphia,2022-08-01,0.2517911201088654
philadelphia,2022-09-01,0.22316666666666668
philadelphia,2022-10-01,0.25630725806451615
philadelphia,2022-11-01,0.23013888888888892
philadelphia,2022-12-01,0.3157930107526882
philadelphia,2023-01-01,0.3294613316790736
philadelphia,2023-02-01,0.2416769649036085
philadelphia,2023-03-01,0.21048387096774193
philadelphia,2023-04-01,0.19368055555555558
philadelphia,2023-05-01,0.14543010752688174
philadelphia,2023-06-01,0.19361111111111112
philadelphia,2023-07-01,0.159744623655914
philadelphia,2023-08-01,0.1506720430107527
philadelphia,2023-09-01,0.19416666666666668
philadelphia,2023-10-01,0.2725806451612903
philadelphia,2023-11-01,0.31090277777777775
philadelphia,2023-12-01,0.453494623655914
philadelphia,2024-01-01,0.5866014256373082
philadelphia,2024-02-01,0.892808988764045
philadelphia,2024-03-01,0.892808988764045
philadelphia,2024-04-01,0.892808988764045
philadelphia,2024-05-01,0.47070360637912284
philadelphia,2024-06-01,0.15
philadelphia,2024-07-01,0.20777889784946238
philadelphia,2024-08-01,0.17807008916863365
philadelphia,2024-09-01,0.2655555555555556
philadelphia,2024-10-01,0.21794354838709679
philadelphia,2024-11-01,0.2818100358422939
philadelphia,2024-12-01,0.24254032258064517
philadelphia,2025-01-01,0.24615306717880736
philadelphia,2025-02-01,0.3140625
philadelphia,2025-03-01,0.21619623655913978
philadelphia,2025-04-01,0.19597222222222221
philadelphia,2025-05-01,0.23205645161290323
philadelphia,2025-06-01,0.2847222222222222
philadelphia,2025-07-01,0.239247311827957
philadelphia,2025-08-01,0.2467741935483871
philadelphia,2025-09-01,0.27902777777777776
philadelphia,2025-10-01,0.24294354838709678
philadelphia,2025-11-01,0.3120833333333333
philadelphia,2025-12-01,0.33205645161290326
philadelphia,2026-01-01,0.32108642187142533
philadelphia,2026-02-01,0.23588423544540565
philadelphia,2026-03-01,0.27043010752688174
philadelphia,2026-04-01,0.22972222222222222
philadelphia,2026-05-01,0.22997311827956987
philadelphia,2026-06-01,0.22
philadelphia,2026-07-01,0.19550173010380623
